Year,Round,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,Team 1_FG_PCT,Team 1_FG3_PCT,Team 1_PTS,Team 1_WinPCT,Team 2_FG_PCT,Team 2_FG3_PCT,Team 2_PTS,Team 2_WinPCT,Team 1_SRS,Team 2_SRS
2021,ECFR,Atlanta Hawks,4,New York Knicks,1,Atlanta Hawks,0.468,0.373,8186,0.569,0.456,0.392,7706,0.569,2.14,2.13
2021,ECFR,Brooklyn Nets,4,Boston Celtics,1,Brooklyn Nets,0.494,0.392,8537,0.667,0.466,0.374,8109,0.5,4.24,1.32
2021,ECFR,Milwaukee Bucks,4,Miami Heat,0,Milwaukee Bucks,0.487,0.389,8649,0.639,0.468,0.358,7781,0.556,5.57,-0.06
2021,ECFR,Philadelphia 76ers,4,Washington Wizards,1,Philadelphia 76ers,0.476,0.374,8182,0.681,0.475,0.351,8398,0.472,5.28,-1.85
2021,WCFR,Denver Nuggets,4,Portland Trail Blazers,2,Denver Nuggets,0.485,0.377,8284,0.653,0.453,0.385,8360,0.583,4.82,1.81
2021,WCFR,LA Clippers,4,Dallas Mavericks,3,LA Clippers,0.482,0.411,8209,0.653,0.47,0.362,8096,0.583,6.02,2.26
2021,WCFR,Phoenix Suns,4,Los Angeles Lakers,2,Phoenix Suns,0.49,0.378,8300,0.708,0.472,0.354,7887,0.583,5.67,2.77
2021,WCFR,Utah Jazz,4,Memphis Grizzlies,1,Utah Jazz,0.468,0.389,8382,0.722,0.467,0.356,8157,0.528,8.97,1.07
2020,Finals,Los Angeles Lakers,4,Miami Heat,2,Los Angeles Lakers,0.48,0.349,8054,0.732,0.468,0.379,8179,0.603,6.28,2.59
2020,ECF,Miami Heat,4,Boston Celtics,2,Miami Heat,0.468,0.379,8179,0.603,0.461,0.364,8183,0.667,2.59,5.83
2020,WCF,Los Angeles Lakers,4,Denver Nuggets,1,Los Angeles Lakers,0.48,0.349,8054,0.732,0.473,0.359,8124,0.63,6.28,2.35
2020,ECS,Boston Celtics,4,Toronto Raptors,3,Boston Celtics,0.461,0.364,8183,0.667,0.458,0.374,8118,0.736,5.83,5.97
2020,ECS,Miami Heat,4,Milwaukee Bucks,1,Miami Heat,0.468,0.379,8179,0.603,0.476,0.355,8663,0.767,2.59,9.41
2020,WCS,Denver Nuggets,4,LA Clippers,3,Denver Nuggets,0.473,0.359,8124,0.63,0.466,0.371,8377,0.681,2.35,6.66
2020,WCS,Los Angeles Lakers,4,Houston Rockets,1,Los Angeles Lakers,0.48,0.349,8054,0.732,0.451,0.345,8482,0.611,6.28,3.13
2020,ECFR,Boston Celtics,4,Philadelphia 76ers,0,Boston Celtics,0.461,0.364,8183,0.667,0.468,0.368,8084,0.589,5.83,2.25
2020,ECFR,Miami Heat,4,Indiana Pacers,0,Miami Heat,0.468,0.379,8179,0.603,0.476,0.363,7989,0.616,2.59,1.63
2020,ECFR,Milwaukee Bucks,4,Orlando Magic,1,Milwaukee Bucks,0.476,0.355,8663,0.767,0.444,0.343,7831,0.452,9.41,-0.93
2020,ECFR,Toronto Raptors,4,Brooklyn Nets,0,Toronto Raptors,0.458,0.374,8118,0.736,0.448,0.343,8048,0.486,5.97,-1.01
2020,WCFR,Denver Nuggets,4,Utah Jazz,3,Denver Nuggets,0.473,0.359,8124,0.63,0.471,0.38,8013,0.611,2.35,2.52
2020,WCFR,Houston Rockets,4,Oklahoma City Thunder,3,Houston Rockets,0.451,0.345,8482,0.611,0.468,0.355,7950,0.611,3.13,2.33
2020,WCFR,LA Clippers,4,Dallas Mavericks,2,LA Clippers,0.466,0.371,8377,0.681,0.461,0.367,8776,0.573,6.66,4.87
2020,WCFR,Los Angeles Lakers,4,Portland Trail Blazers,1,Los Angeles Lakers,0.48,0.349,8054,0.732,0.463,0.377,8508,0.473,6.28,-0.61
2019,Finals,Toronto Raptors,4,Golden State Warriors,2,Toronto Raptors,0.474,0.366,9384,0.707,0.491,0.385,9650,0.695,5.49,6.42
2019,ECF,Toronto Raptors,4,Milwaukee Bucks,2,Toronto Raptors,0.474,0.366,9384,0.707,0.476,0.353,9686,0.732,5.49,8.04
2019,WCF,Golden State Warriors,4,Portland Trail Blazers,0,Golden State Warriors,0.491,0.385,9650,0.695,0.467,0.359,9402,0.646,6.42,4.43
2019,ECS,Milwaukee Bucks,4,Boston Celtics,1,Milwaukee Bucks,0.476,0.353,9686,0.732,0.465,0.365,9216,0.598,8.04,3.90
2019,ECS,Toronto Raptors,4,Philadelphia 76ers,3,Toronto Raptors,0.474,0.366,9384,0.707,0.471,0.359,9445,0.622,5.49,2.25
2019,WCS,Golden State Warriors,4,Houston Rockets,2,Golden State Warriors,0.491,0.385,9650,0.695,0.449,0.356,9341,0.646,6.42,4.96
2019,WCS,Portland Trail Blazers,4,Denver Nuggets,3,Portland Trail Blazers,0.467,0.359,9402,0.646,0.466,0.351,9075,0.659,4.43,4.19
2019,ECFR,Boston Celtics,4,Indiana Pacers,0,Boston Celtics,0.465,0.365,9216,0.598,0.475,0.374,8857,0.585,3.90,2.76
